customer_id,recency_score,frequency_score,monetary_score,rfm_score,segment
12454.0,3,1,5,9,Cannot Lose
12455.0,2,4,5,11,At Risk
12456.0,3,3,5,11,Potential Loyalists
12457.0,3,4,5,12,Potential Loyalists
12458.0,3,2,4,9,Cannot Lose
12461.0,2,2,3,7,About to Sleep
12462.0,4,2,4,10,Loyal Customers
12463.0,3,3,4,10,Potential Loyalists
12464.0,5,4,4,13,Champions
12465.0,4,2,3,9,Cannot Lose
12468.0,1,2,3,6,About to Sleep
12471.0,5,5,5,15,Champions
12472.0,4,4,5,13,Champions
12473.0,4,3,5,12,Loyal Customers
12474.0,4,5,5,14,Champions
12475.0,3,1,3,7,Cannot Lose
12476.0,4,5,5,14,Champions
12477.0,4,4,5,13,Champions
12478.0,5,1,3,9,Cannot Lose
12479.0,5,1,3,9,Cannot Lose
12480.0,4,3,5,12,Loyal Customers
12481.0,4,4,5,13,Champions
12483.0,4,4,5,13,Champions
12484.0,4,4,5,13,Champions
12488.0,5,3,4,12,Loyal Customers
12489.0,1,1,2,4,Hibernating
12490.0,5,4,5,14,Champions
12491.0,3,1,2,6,Promising
12492.0,3,2,2,7,Promising
12493.0,2,2,2,6,Hibernating
12494.0,4,4,4,12,Loyal Customers
12497.0,2,1,4,7,About to Sleep
12498.0,4,3,2,9,Cannot Lose
12500.0,4,5,5,14,Champions
12501.0,1,1,5,7,About to Sleep
12502.0,2,3,5,10,Need Attention
12504.0,4,2,2,8,New Customers
12506.0,1,1,1,3,Hibernating
12507.0,2,3,4,9,Need Attention
12508.0,4,2,2,8,New Customers
12509.0,1,1,1,3,Hibernating
12510.0,2,2,4,8,About to Sleep
12512.0,3,2,1,6,Promising
12513.0,2,1,3,6,About to Sleep
12514.0,1,1,4,6,About to Sleep
12515.0,1,1,2,4,Hibernating
12516.0,2,2,4,8,About to Sleep
12517.0,4,3,5,12,Loyal Customers
12518.0,5,3,5,13,Champions
12519.0,3,1,2,6,Promising
12520.0,2,3,5,10,Need Attention
12521.0,2,1,3,6,About to Sleep
12522.0,3,2,1,6,Promising
12523.0,4,5,4,13,Champions
12524.0,5,4,5,14,Champions
12526.0,5,3,4,12,Loyal Customers
12527.0,2,3,2,7,Cannot Lose
12528.0,5,4,4,13,Champions
12530.0,3,3,4,10,Potential Loyalists
12531.0,4,1,1,6,New Customers
12532.0,4,1,2,7,New Customers
12534.0,2,1,4,7,About to Sleep
12535.0,2,2,3,7,About to Sleep
12536.0,3,1,5,9,Cannot Lose
12538.0,4,1,2,7,New Customers
12539.0,4,3,5,12,Loyal Customers
12540.0,4,5,5,14,Champions
12541.0,4,3,4,11,Loyal Customers
12544.0,3,1,2,6,Promising
12545.0,2,2,4,8,About to Sleep
12546.0,3,2,4,9,Cannot Lose
12547.0,1,2,1,4,Hibernating
12548.0,2,1,1,4,Hibernating
12550.0,2,1,4,7,About to Sleep
12551.0,1,1,1,3,Hibernating
12552.0,3,2,2,7,Promising
12553.0,5,4,5,14,Champions
12556.0,3,2,3,8,Cannot Lose
12557.0,4,3,5,12,Loyal Customers
12558.0,5,1,2,8,New Customers
12559.0,1,2,3,6,About to Sleep
12560.0,5,3,5,13,Champions
12561.0,1,1,1,3,Hibernating
12562.0,5,4,5,14,Champions
12564.0,1,1,2,4,Hibernating
12565.0,1,1,1,3,Hibernating
12566.0,2,1,2,5,Hibernating
12567.0,4,4,5,13,Champions
12569.0,5,5,5,15,Champions
12571.0,3,2,3,8,Cannot Lose
12572.0,5,2,4,11,Loyal Customers
12573.0,1,1,1,3,Hibernating
12574.0,1,1,1,3,Hibernating
12576.0,3,3,4,10,Potential Loyalists
12577.0,3,3,3,9,Potential Loyalists
12578.0,4,2,5,11,Loyal Customers
12579.0,2,1,2,5,Hibernating
12580.0,1,1,2,4,Hibernating
12581.0,3,1,1,5,Promising
12582.0,1,2,3,6,About to Sleep
12583.0,5,5,5,15,Champions
12584.0,5,4,5,14,Champions
12585.0,1,2,5,8,About to Sleep
12586.0,4,1,1,6,New Customers
12587.0,5,1,1,7,New Customers
12588.0,3,1,1,5,Promising
12589.0,4,2,3,9,Cannot Lose
12590.0,1,1,5,7,About to Sleep
12591.0,1,1,2,4,Hibernating
12592.0,2,2,2,6,Hibernating
12593.0,2,3,2,7,Cannot Lose
12594.0,3,4,5,12,Potential Loyalists
12596.0,3,2,3,8,Cannot Lose
12597.0,4,3,5,12,Loyal Customers
12598.0,5,4,5,14,Champions
12599.0,4,4,4,12,Loyal Customers
12600.0,4,4,5,13,Champions
12601.0,1,3,3,7,Need Attention
12602.0,3,1,1,5,Promising
12603.0,4,1,3,8,Cannot Lose
12604.0,2,2,2,6,Hibernating
12607.0,3,1,4,8,Cannot Lose
12609.0,2,3,4,9,Need Attention
12610.0,4,3,5,12,Loyal Customers
12611.0,3,1,4,8,Cannot Lose
12612.0,2,1,3,6,About to Sleep
12613.0,3,3,5,11,Potential Loyalists
12614.0,1,1,2,4,Hibernating
12615.0,5,3,5,13,Champions
12616.0,2,2,3,7,About to Sleep
12617.0,4,1,2,7,New Customers
12618.0,4,1,1,6,New Customers
12619.0,4,4,5,13,Champions
12620.0,4,3,4,11,Loyal Customers
12621.0,5,5,5,15,Champions
12622.0,1,1,1,3,Hibernating
12623.0,1,1,2,4,Hibernating
12624.0,2,2,3,7,About to Sleep
12625.0,1,2,5,8,About to Sleep
12626.0,4,4,5,13,Champions
12627.0,5,4,5,14,Champions
12628.0,5,3,3,11,Potential Loyalists
12630.0,5,2,4,11,Loyal Customers
12631.0,3,1,3,7,Cannot Lose
12633.0,3,3,5,11,Potential Loyalists
12635.0,2,2,4,8,About to Sleep
12637.0,3,4,5,12,Potential Loyalists
12638.0,3,1,3,7,Cannot Lose
12639.0,1,1,3,5,About to Sleep
12640.0,4,3,4,11,Loyal Customers
12641.0,2,1,1,4,Hibernating
12642.0,4,3,4,11,Loyal Customers
12643.0,2,4,5,11,At Risk
12644.0,2,1,2,5,Hibernating
12645.0,3,3,4,10,Potential Loyalists
12646.0,5,2,4,11,Loyal Customers
12647.0,4,5,5,14,Champions
12648.0,2,1,2,5,Hibernating
12649.0,2,3,3,8,Need Attention
12650.0,5,1,2,8,New Customers
12651.0,1,1,1,3,Hibernating
12652.0,1,1,3,5,About to Sleep
12653.0,2,2,5,9,About to Sleep
12654.0,5,3,3,11,Potential Loyalists
12656.0,4,3,5,12,Loyal Customers
12657.0,5,3,4,12,Loyal Customers
12658.0,4,1,3,8,Cannot Lose
12659.0,4,1,1,6,New Customers
12660.0,5,1,2,8,New Customers
12662.0,5,5,5,15,Champions
12664.0,5,4,5,14,Champions
12665.0,1,1,1,3,Hibernating
12667.0,3,1,3,7,Cannot Lose
12668.0,5,3,5,13,Champions
12669.0,2,2,4,8,About to Sleep
12670.0,5,3,5,13,Champions
12672.0,1,1,1,3,Hibernating
12673.0,5,2,3,10,Cannot Lose
12674.0,3,3,4,10,Potential Loyalists
12676.0,4,4,4,12,Loyal Customers
12678.0,3,4,5,12,Potential Loyalists
12679.0,3,3,4,10,Potential Loyalists
12680.0,5,3,3,11,Potential Loyalists
12681.0,4,5,5,14,Champions
12682.0,5,5,5,15,Champions
12683.0,5,5,5,15,Champions
12684.0,5,4,5,14,Champions
12685.0,4,4,5,13,Champions
12686.0,1,1,1,3,Hibernating
12688.0,2,1,5,8,About to Sleep
12689.0,4,2,4,10,Loyal Customers
12690.0,1,1,2,4,Hibernating
12691.0,4,4,4,12,Loyal Customers
12693.0,2,3,3,8,Need Attention
12694.0,3,2,3,8,Cannot Lose
12695.0,5,3,3,11,Potential Loyalists
12697.0,4,3,4,11,Loyal Customers
12700.0,5,3,5,13,Champions
12701.0,2,2,3,7,About to Sleep
12702.0,4,1,1,6,New Customers
12703.0,3,1,2,6,Promising
12704.0,5,4,5,14,Champions
12705.0,4,4,5,13,Champions
12707.0,1,1,3,5,About to Sleep
12708.0,4,4,5,13,Champions
12709.0,4,5,5,14,Champions
12710.0,2,3,4,9,Need Attention
12712.0,4,5,5,14,Champions
12713.0,5,1,3,9,Cannot Lose
12714.0,5,3,5,13,Champions
12715.0,2,1,2,5,Hibernating
12716.0,5,2,4,11,Loyal Customers
12717.0,2,2,4,8,About to Sleep
12718.0,3,1,1,5,Promising
12719.0,5,2,3,10,Cannot Lose
12720.0,5,5,5,15,Champions
12721.0,4,4,5,13,Champions
12722.0,2,3,4,9,Need Attention
12723.0,5,3,3,11,Potential Loyalists
12724.0,5,3,4,12,Loyal Customers
12725.0,1,1,2,4,Hibernating
12726.0,4,4,5,13,Champions
12727.0,5,4,5,14,Champions
12728.0,3,3,3,9,Potential Loyalists
12729.0,2,1,2,5,Hibernating
12731.0,4,5,5,14,Champions
12732.0,2,1,1,4,Hibernating
12733.0,1,1,2,4,Hibernating
12734.0,1,1,1,3,Hibernating
12735.0,1,2,3,6,About to Sleep
12736.0,1,1,1,3,Hibernating
12738.0,1,1,1,3,Hibernating
12739.0,2,2,4,8,About to Sleep
12740.0,3,1,2,6,Promising
12743.0,2,2,3,7,About to Sleep
12744.0,3,3,5,11,Potential Loyalists
12747.0,5,5,5,15,Champions
12748.0,5,5,5,15,Champions
12749.0,5,3,5,13,Champions
12750.0,2,1,2,5,Hibernating
12752.0,2,1,5,8,About to Sleep
12753.0,4,4,5,13,Champions
12754.0,1,3,4,8,Need Attention
12755.0,1,1,1,3,Hibernating
12756.0,2,1,1,4,Hibernating
12757.0,4,4,5,13,Champions
12758.0,2,2,5,9,About to Sleep
12759.0,3,3,4,10,Potential Loyalists
12762.0,5,2,4,11,Loyal Customers
12763.0,2,2,3,7,About to Sleep
12764.0,1,1,4,6,About to Sleep
12766.0,5,4,5,14,Champions
12769.0,1,1,4,6,About to Sleep
12770.0,1,1,4,6,About to Sleep
12772.0,3,1,3,7,Cannot Lose
12775.0,4,3,4,11,Loyal Customers
12778.0,4,4,3,11,Loyal Customers
12779.0,3,4,5,12,Potential Loyalists
12781.0,3,2,3,8,Cannot Lose
12782.0,5,3,5,13,Champions
12783.0,5,3,4,12,Loyal Customers
12784.0,5,2,3,10,Cannot Lose
12785.0,1,1,2,4,Hibernating
12787.0,5,3,2,10,Cannot Lose
12789.0,3,1,1,5,Promising
12790.0,1,1,2,4,Hibernating
12791.0,1,1,1,3,Hibernating
12792.0,1,1,2,4,Hibernating
12793.0,1,2,3,6,About to Sleep
12794.0,3,2,3,8,Cannot Lose
12795.0,4,1,2,7,New Customers
12797.0,1,1,2,4,Hibernating
12798.0,2,1,4,7,About to Sleep
12802.0,1,1,2,4,Hibernating
12808.0,3,3,3,9,Potential Loyalists
12809.0,2,1,3,6,About to Sleep
12811.0,1,3,3,7,Need Attention
12812.0,3,1,1,5,Promising
12814.0,2,1,1,4,Hibernating
12815.0,2,2,4,8,About to Sleep
12816.0,2,2,3,7,About to Sleep
12817.0,1,1,1,3,Hibernating
12818.0,1,1,4,6,About to Sleep
12820.0,5,3,4,12,Loyal Customers
12821.0,1,1,1,3,Hibernating
12822.0,3,2,4,9,Cannot Lose
12823.0,2,3,4,9,Need Attention
12824.0,3,1,2,6,Promising
12826.0,5,4,4,13,Champions
12827.0,5,3,2,10,Cannot Lose
12828.0,5,4,4,13,Champions
12829.0,1,2,2,5,Hibernating
12830.0,3,3,5,11,Potential Loyalists
12831.0,1,1,1,3,Hibernating
12832.0,4,2,2,8,New Customers
12833.0,2,1,2,5,Hibernating
12834.0,1,1,2,4,Hibernating
12836.0,3,3,5,11,Potential Loyalists
12837.0,2,1,1,4,Hibernating
12838.0,3,2,3,8,Cannot Lose
12839.0,5,5,5,15,Champions
12840.0,2,3,5,10,Need Attention
12841.0,5,5,5,15,Champions
12842.0,3,2,4,9,Cannot Lose
12843.0,3,4,4,11,Potential Loyalists
12844.0,4,2,2,8,New Customers
12845.0,1,3,2,6,Cannot Lose
12847.0,4,1,3,8,Cannot Lose
12849.0,4,2,4,10,Loyal Customers
12851.0,2,1,1,4,Hibernating
12852.0,1,1,2,4,Hibernating
12853.0,2,4,4,10,At Risk
12854.0,2,3,4,9,Need Attention
12855.0,1,1,1,3,Hibernating
12856.0,5,4,5,14,Champions
12857.0,1,2,4,7,About to Sleep
12863.0,3,1,3,7,Cannot Lose
12864.0,2,1,1,4,Hibernating
12865.0,4,2,4,10,Loyal Customers
12866.0,1,1,3,5,About to Sleep
12867.0,4,4,5,13,Champions
12868.0,1,4,4,9,At Risk
12871.0,2,2,2,6,Hibernating
12872.0,1,2,3,6,About to Sleep
12873.0,1,1,2,4,Hibernating
12875.0,2,1,1,4,Hibernating
12876.0,3,2,5,10,Cannot Lose
12877.0,5,5,4,14,Champions
12878.0,1,2,3,6,About to Sleep
12879.0,3,3,3,9,Potential Loyalists
12881.0,1,1,1,3,Hibernating
12882.0,5,2,4,11,Loyal Customers
12883.0,4,3,3,10,Potential Loyalists
12884.0,2,1,1,4,Hibernating
12885.0,3,3,4,10,Potential Loyalists
12886.0,3,2,4,9,Cannot Lose
12888.0,1,2,2,5,Hibernating
12890.0,4,1,2,7,New Customers
12891.0,1,2,1,4,Hibernating
12893.0,4,1,1,6,New Customers
12895.0,3,2,2,7,Promising
12897.0,1,2,1,4,Hibernating
12901.0,5,5,5,15,Champions
12902.0,1,1,1,3,Hibernating
12904.0,4,2,3,9,Cannot Lose
12906.0,5,3,5,13,Champions
12909.0,3,3,4,10,Potential Loyalists
12910.0,4,4,5,13,Champions
12912.0,5,3,4,12,Loyal Customers
12913.0,5,3,5,13,Champions
12915.0,2,2,2,6,Hibernating
12916.0,2,3,5,10,Need Attention
12917.0,2,1,3,6,About to Sleep
12919.0,5,4,4,13,Champions
12920.0,4,1,1,6,New Customers
12921.0,5,5,5,15,Champions
12922.0,2,1,2,5,Hibernating
12923.0,3,1,1,5,Promising
12924.0,2,3,4,9,Need Attention
12925.0,5,2,3,10,Cannot Lose
12928.0,3,3,5,11,Potential Loyalists
12929.0,1,1,1,3,Hibernating
12930.0,2,2,2,6,Hibernating
12931.0,4,5,5,14,Champions
12933.0,4,3,3,10,Potential Loyalists
12935.0,5,4,5,14,Champions
12936.0,4,3,4,11,Loyal Customers
12937.0,4,3,4,11,Loyal Customers
12938.0,4,1,1,6,New Customers
12939.0,3,4,5,12,Potential Loyalists
12940.0,3,2,3,8,Cannot Lose
12942.0,2,3,3,8,Need Attention
12944.0,3,2,3,8,Cannot Lose
12945.0,1,1,2,4,Hibernating
12947.0,2,4,4,10,At Risk
12948.0,4,4,5,13,Champions
12949.0,4,4,5,13,Champions
12950.0,5,3,4,12,Loyal Customers
12951.0,5,4,4,13,Champions
12952.0,5,3,4,12,Loyal Customers
12953.0,5,1,2,8,New Customers
12955.0,5,5,5,15,Champions
12956.0,1,1,1,3,Hibernating
12957.0,5,4,5,14,Champions
12962.0,5,2,2,9,New Customers
12963.0,5,4,4,13,Champions
12965.0,2,1,3,6,About to Sleep
12966.0,5,1,1,7,New Customers
12967.0,1,2,4,7,About to Sleep
12968.0,2,1,1,4,Hibernating
12970.0,5,3,2,10,Cannot Lose
12971.0,5,5,5,15,Champions
12974.0,1,1,1,3,Hibernating
12976.0,1,1,3,5,About to Sleep
12977.0,2,1,1,4,Hibernating
12980.0,2,4,5,11,At Risk
12981.0,4,2,2,8,New Customers
12982.0,1,1,2,4,Hibernating
12984.0,4,1,1,6,New Customers
12985.0,5,2,4,11,Loyal Customers
12987.0,2,2,3,7,About to Sleep
12988.0,1,1,3,5,About to Sleep
12989.0,5,5,5,15,Champions
12990.0,4,3,2,9,Cannot Lose
12991.0,4,2,3,9,Cannot Lose
12993.0,4,3,2,9,Cannot Lose
12994.0,5,3,4,12,Loyal Customers
12995.0,2,1,1,4,Hibernating
12997.0,4,3,4,11,Loyal Customers
12999.0,1,3,2,6,Cannot Lose
13000.0,2,3,3,8,Need Attention
13001.0,5,5,5,15,Champions
13002.0,1,1,1,3,Hibernating
13003.0,2,3,1,6,Cannot Lose
13004.0,5,5,5,15,Champions
13005.0,2,2,3,7,About to Sleep
13006.0,3,1,1,5,Promising
13008.0,1,1,1,3,Hibernating
13011.0,1,1,1,3,Hibernating
13012.0,5,4,4,13,Champions
13013.0,5,5,5,15,Champions
13014.0,5,4,5,14,Champions
13015.0,3,3,5,11,Potential Loyalists
13016.0,2,3,3,8,Need Attention
13017.0,5,1,1,7,New Customers
13018.0,4,5,5,14,Champions
13021.0,5,4,5,14,Champions
13023.0,3,2,3,8,Cannot Lose
13026.0,5,3,4,12,Loyal Customers
13027.0,2,4,5,11,At Risk
13028.0,4,2,3,9,Cannot Lose
13029.0,4,3,4,11,Loyal Customers
13030.0,5,2,3,10,Cannot Lose
13032.0,3,2,4,9,Cannot Lose
13033.0,1,1,1,3,Hibernating
13034.0,3,2,3,8,Cannot Lose
13035.0,2,2,3,7,About to Sleep
13037.0,2,3,3,8,Need Attention
13038.0,2,3,3,8,Need Attention
13040.0,5,2,3,10,Cannot Lose
13043.0,1,1,3,5,About to Sleep
13044.0,1,1,3,5,About to Sleep
13045.0,2,1,2,5,Hibernating
13046.0,4,2,3,9,Cannot Lose
13047.0,4,4,5,13,Champions
13048.0,4,3,4,11,Loyal Customers
13049.0,3,2,3,8,Cannot Lose
13050.0,4,5,5,14,Champions
13052.0,1,1,2,4,Hibernating
13055.0,2,3,4,9,Need Attention
13058.0,4,3,2,9,Cannot Lose
13059.0,1,1,1,3,Hibernating
13060.0,1,1,2,4,Hibernating
13061.0,2,1,2,5,Hibernating
13062.0,1,1,2,4,Hibernating
13064.0,5,3,4,12,Loyal Customers
13065.0,1,1,1,3,Hibernating
13066.0,4,2,2,8,New Customers
13067.0,2,1,1,4,Hibernating
13068.0,5,2,2,9,New Customers
13069.0,5,5,5,15,Champions
13070.0,1,1,1,3,Hibernating
13072.0,1,1,1,3,Hibernating
13075.0,2,1,3,6,About to Sleep
13077.0,5,3,3,11,Potential Loyalists
13078.0,5,5,5,15,Champions
13079.0,5,3,1,9,Cannot Lose
13080.0,2,1,1,4,Hibernating
13081.0,5,5,5,15,Champions
13082.0,2,4,5,11,At Risk
13083.0,5,2,2,9,New Customers
13085.0,2,2,2,6,Hibernating
13089.0,5,5,5,15,Champions
13090.0,5,5,5,15,Champions
13091.0,4,1,2,7,New Customers
13092.0,3,3,2,8,Cannot Lose
13093.0,1,4,5,10,At Risk
13094.0,4,5,4,13,Champions
13095.0,3,1,1,5,Promising
13097.0,4,4,5,13,Champions
13098.0,5,5,5,15,Champions
13099.0,2,1,1,4,Hibernating
13101.0,1,1,1,3,Hibernating
13102.0,5,5,5,15,Champions
13103.0,3,1,2,6,Promising
13104.0,5,4,4,13,Champions
13106.0,2,1,1,4,Hibernating
13107.0,3,3,4,10,Potential Loyalists
13108.0,1,1,2,4,Hibernating
13109.0,3,2,3,8,Cannot Lose
13110.0,4,4,4,12,Loyal Customers
13113.0,5,5,5,15,Champions
13115.0,5,3,5,13,Champions
13116.0,2,1,3,6,About to Sleep
13117.0,4,4,4,12,Loyal Customers
13118.0,4,3,4,11,Loyal Customers
13120.0,1,1,1,3,Hibernating
13121.0,1,1,2,4,Hibernating
13122.0,2,2,3,7,About to Sleep
13124.0,2,3,5,10,Need Attention
13126.0,5,4,5,14,Champions
13127.0,2,1,2,5,Hibernating
13130.0,2,1,1,4,Hibernating
13131.0,4,3,4,11,Loyal Customers
13132.0,1,1,1,3,Hibernating
13133.0,1,2,1,4,Hibernating
13134.0,2,3,4,9,Need Attention
13136.0,3,3,5,11,Potential Loyalists
13137.0,5,4,5,14,Champions
13138.0,4,4,4,12,Loyal Customers
13139.0,4,4,5,13,Champions
13140.0,2,3,2,7,Cannot Lose
13141.0,2,3,5,10,Need Attention
13142.0,4,1,2,7,New Customers
13144.0,1,1,1,3,Hibernating
13145.0,3,3,2,8,Cannot Lose
13146.0,4,1,1,6,New Customers
13147.0,5,3,3,11,Potential Loyalists
13148.0,4,5,5,14,Champions
13149.0,4,3,4,11,Loyal Customers
13151.0,1,1,4,6,About to Sleep
13153.0,5,1,3,9,Cannot Lose
13155.0,3,3,4,10,Potential Loyalists
13157.0,3,3,4,10,Potential Loyalists
13158.0,2,3,4,9,Need Attention
13159.0,5,3,4,12,Loyal Customers
13160.0,4,1,1,6,New Customers
13161.0,1,1,1,3,Hibernating
13162.0,2,3,4,9,Need Attention
13165.0,3,2,4,9,Cannot Lose
13166.0,1,1,2,4,Hibernating
13167.0,4,3,3,10,Potential Loyalists
13168.0,3,3,4,10,Potential Loyalists
13169.0,3,2,3,8,Cannot Lose
13170.0,4,1,1,6,New Customers
13171.0,4,3,2,9,Cannot Lose
13173.0,5,2,2,9,New Customers
13174.0,4,3,5,12,Loyal Customers
13176.0,3,1,3,7,Cannot Lose
13177.0,3,1,2,6,Promising
13178.0,4,5,5,14,Champions
13182.0,3,1,1,5,Promising
13183.0,5,4,5,14,Champions
13184.0,4,4,4,12,Loyal Customers
13185.0,1,1,1,3,Hibernating
13186.0,3,3,4,10,Potential Loyalists
13187.0,1,1,1,3,Hibernating
13188.0,5,1,1,7,New Customers
13189.0,4,2,2,8,New Customers
13192.0,2,2,3,7,About to Sleep
13193.0,3,1,1,5,Promising
13194.0,2,1,1,4,Hibernating
13196.0,5,3,4,12,Loyal Customers
13198.0,5,4,5,14,Champions
13199.0,5,5,5,15,Champions
13200.0,4,3,3,10,Potential Loyalists
13203.0,5,3,3,11,Potential Loyalists
13207.0,4,2,2,8,New Customers
13208.0,3,4,4,11,Potential Loyalists
13209.0,4,4,5,13,Champions
13210.0,2,1,2,5,Hibernating
13211.0,5,3,4,12,Loyal Customers
13212.0,4,3,3,10,Potential Loyalists
13213.0,3,3,4,10,Potential Loyalists
13216.0,1,1,2,4,Hibernating
13217.0,2,3,3,8,Need Attention
13218.0,2,1,1,4,Hibernating
13220.0,2,3,3,8,Need Attention
13221.0,1,2,3,6,About to Sleep
13223.0,1,2,1,4,Hibernating
13224.0,3,2,5,10,Cannot Lose
13225.0,5,4,5,14,Champions
13226.0,1,1,1,3,Hibernating
13227.0,1,1,2,4,Hibernating
13228.0,2,1,2,5,Hibernating
13229.0,1,1,1,3,Hibernating
13230.0,5,5,5,15,Champions
13232.0,5,4,4,13,Champions
13233.0,2,2,3,7,About to Sleep
13235.0,1,1,4,6,About to Sleep
13236.0,4,2,3,9,Cannot Lose
13238.0,4,3,3,10,Potential Loyalists
13239.0,1,1,2,4,Hibernating
13240.0,2,3,3,8,Need Attention
13242.0,2,3,2,7,Cannot Lose
13243.0,1,1,3,5,About to Sleep
13244.0,2,1,1,4,Hibernating
13245.0,3,1,2,6,Promising
13246.0,4,4,4,12,Loyal Customers
13247.0,4,3,3,10,Potential Loyalists
13248.0,2,2,2,6,Hibernating
13249.0,2,3,3,8,Need Attention
13253.0,2,2,4,8,About to Sleep
13255.0,5,2,2,9,New Customers
13258.0,5,3,3,11,Potential Loyalists
13259.0,3,1,2,6,Promising
13260.0,3,1,3,7,Cannot Lose
13261.0,1,2,4,7,About to Sleep
13262.0,1,1,1,3,Hibernating
13263.0,5,5,5,15,Champions
13265.0,3,3,5,11,Potential Loyalists
13266.0,5,5,5,15,Champions
13267.0,5,5,5,15,Champions
13268.0,4,5,5,14,Champions
13269.0,5,5,5,15,Champions
13270.0,1,1,3,5,About to Sleep
13271.0,3,1,1,5,Promising
13272.0,4,2,2,8,New Customers
13273.0,2,1,1,4,Hibernating
13276.0,3,2,3,8,Cannot Lose
13277.0,4,3,2,9,Cannot Lose
13278.0,3,1,3,7,Cannot Lose
13279.0,2,1,1,4,Hibernating
13280.0,2,3,3,8,Need Attention
13282.0,4,3,4,11,Loyal Customers
13283.0,3,2,1,6,Promising
13284.0,1,1,1,3,Hibernating
13285.0,4,3,5,12,Loyal Customers
13291.0,2,1,2,5,Hibernating
13292.0,3,2,3,8,Cannot Lose
13294.0,1,2,3,6,About to Sleep
13295.0,1,1,1,3,Hibernating
13296.0,2,1,1,4,Hibernating
13297.0,5,3,5,13,Champions
13298.0,5,1,2,8,New Customers
13299.0,1,1,1,3,Hibernating
13300.0,2,1,2,5,Hibernating
13301.0,2,3,3,8,Need Attention
13302.0,2,1,1,4,Hibernating
13304.0,1,1,2,4,Hibernating
13305.0,5,4,4,13,Champions
13307.0,2,1,1,4,Hibernating
13308.0,4,3,4,11,Loyal Customers
13309.0,5,3,4,12,Loyal Customers
